area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
191.74,西南,简装,低楼层(共25层) ,塔楼,1520,79275.0,工体,39,60.0,5
92.52,南 西 北,精装,中楼层(共22层) ,板塔结合,1210,130783.0,陶然亭,37,30.0,4
109.75,东 北 东北,精装,低楼层(共17层) ,塔楼,891,81185.0,安定门,48,90.0,5
106.98,东南,精装,低楼层(共21层) ,塔楼,1220,114041.0,和平里,33,60.0,4
158.07,西南,简装,高楼层(共19层) ,板塔结合,1680,106283.0,和平里,23,60.0,5
95.75,东,精装,11层 ,板塔结合,675,70497.0,永定门,23,13.0,4
102.06,东,简装,11层,塔楼,649,63591.0,永定门,34,30.0,3
196.89,东 西,精装,低楼层(共20层),板楼,1659,84261.0,广渠门,17,210.0,5
104.9,南 北,精装,中楼层(共5层) ,板楼,960,91516.0,东花市,24,30.0,4
105.81,南 北,简装,底层(共5层) ,板楼,960,90729.0,东花市,6,12.0,4
93.22,南 北,简装,中楼层(共10层) ,板楼,1280,137310.0,东花市,3,6.0,4
183.39,东 南 西 北,精装,中楼层(共11层) ,板楼,1575,85883.0,朝阳门内,63,150.0,4
160.56,东,简装,中楼层(共23层) ,板塔结合,915,56989.0,建国门内,6,30.0,4
91.75,东 西,简装,低楼层(共15层) ,塔楼,850,92644.0,广渠门,14,30.0,3
91.86,南 北,精装,高楼层(共21层) ,板塔结合,1150,125191.0,安定门,11,60.0,3
108.13,南 北,精装,8层 ,板楼,890,82309.0,永定门,65,120.0,4
173.21,东南 西南,其他,低楼层(共19层) ,塔楼,1718,99186.0,建国门内,6,120.0,5
156.82,东,简装,中楼层(共24层),板楼,750,47826.0,建国门内,9,150.0,4
108.58,东,精装,中楼层(共11层),塔楼,750,69074.0,永定门,19,365.0,3
91.49,南 西 北,精装,顶层(共6层) ,板楼,570,62302.0,永定门,20,60.0,4
98.38,东 南 北,简装,中楼层(共21层),塔楼,635,64546.0,永定门,50,365.0,4
90.51,南 北 西,精装,中楼层(共6层) ,板楼,599,66181.0,永定门,119,365.0,4
99.8,南 北,简装,低楼层(共14层) ,板塔结合,868,86974.0,东直门,26,90.0,4
101.55,东,精装,中楼层(共17层),塔楼,710,69917.0,工体,18,365.0,4
157.55,西,简装,低楼层(共24层) ,塔楼,1586,100667.0,工体,6,240.0,3
152.14,南 东,精装,中楼层(共19层) ,板塔结合,2100,138031.0,和平里,23,365.0,5
102.98,西,简装,高楼层(共24层) ,塔楼,980,95165.0,工体,39,90.0,3
102.13,南 北,精装,顶层(共12层) ,板塔结合,1200,117498.0,崇文门,14,120.0,3
93.13,东,精装,低楼层(共23层) ,塔楼,550,59058.0,广渠门,11,365.0,3
93.13,东,精装,低楼层(共23层) ,塔楼,550,59058.0,广渠门,8,365.0,3
106.32,南 北,精装,底层(共6层) ,板楼,1000,94056.0,东花市,4,11.0,4
97.45,东南,精装,低楼层(共18层) ,板塔结合,1020,104670.0,东花市,48,90.0,4
157.42,南 北,精装,中楼层(共16层),板楼,1745,110850.0,崇文门,12,60.0,5
157.51,西南,简装,高楼层(共18层),塔楼,1588,100819.0,东花市,18,90.0,4
179.59,南 北,精装,底层(共12层) ,板楼,2400,133638.0,东花市,12,330.0,5
90.63,东 西,精装,底层(共16层) ,板楼,898,99085.0,崇文门,21,240.0,4
94.59,南 北,其他,高楼层(共7层),板楼,748,79079.0,崇文门,8,150.0,4
156.14,南 北,精装,中楼层(共9层) ,板塔结合,1488,95300.0,东直门,43,180.0,4
104.99,南 北,其他,17层 ,塔楼,899,85628.0,崇文门,9,30.0,4
101.28,南 西 北,简装,顶层(共9层) ,板塔结合,1350,133294.0,交道口,11,90.0,5
106.42,东北,其他,高楼层(共16层),塔楼,999,93874.0,崇文门,24,120.0,3
90.72,南,精装,低楼层(共16层),塔楼,999,110120.0,崇文门,31,150.0,4
171.16,南 西,其他,中楼层(共11层) ,板楼,1838,107385.0,朝阳门内,6,30.0,4
103.45,东 西,简装,顶层(共6层) ,板楼,748,72306.0,崇文门,41,150.0,4
105.81,南 北,精装,中楼层(共5层) ,板楼,1150,108686.0,东花市,2,21.0,4
105.81,南 北,简装,中楼层(共5层) ,板楼,960,90729.0,东花市,6,10.0,4
97.87,南 北,精装,底层(共6层),板楼,900,91959.0,左安门,3,30.0,3
102.02,西北,简装,高楼层(共18层) ,板塔结合,1190,116644.0,东花市,12,60.0,3
105.36,西北,其他,高楼层(共16层),塔楼,980,93015.0,崇文门,0,30.0,3
96.64,南,简装,高楼层(共17层) ,塔楼,1198,123966.0,广渠门,44,365.0,4
96.64,西,简装,底层(共14层),板塔结合,699,72331.0,左安门,4,30.0,3
160.44,南,其他,中楼层(共7层) ,板楼,1770,110322.0,左安门,12,90.0,5
156.26,东 南 西,精装,高楼层(共12层),板楼,1850,118393.0,东花市,38,365.0,4
104.88,东南,精装,高楼层(共18层) ,板塔结合,1138,108505.0,东花市,2,5.0,4
