area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
178.74,南,精装,高楼层,板楼,2280.0,127560.0,世纪城,17,90.0,5
167.76,南,简装,高楼层,板楼,2200.0,131140.0,世纪城,8,30.0,4
163.92,南,简装,中楼层,板楼,2250.0,137263.0,世纪城,9,18.0,5
103.95,东南,简装,中楼层,塔楼,1320.0,126985.0,世纪城,34,300.0,4
165.22,南,精装,中楼层,板塔结合,1620.0,98052.0,世纪城,19,240.0,5
161.6,南,简装,低楼层,板楼,1780.0,110149.0,世纪城,33,60.0,4
172.34,东南,其他,高楼层,塔楼,1740.0,100964.0,世纪城,2,22.0,4
161.39,南,其他,中楼层,板楼,1985.0,122994.0,世纪城,11,60.0,6
193.21,东南,其他,低楼层,塔楼,2100.0,108691.0,世纪城,19,365.0,6
193.21,西南,精装,低楼层,塔楼,1835.0,94975.0,世纪城,10,60.0,6
136.77,东南,简装,中楼层,塔楼,1720.0,125759.0,世纪城,79,365.0,4
164.79,南,简装,高楼层,板楼,1700.0,103162.0,世纪城,31,60.0,5
163.92,南,精装,中楼层,板楼,1988.0,121279.0,世纪城,25,90.0,5
168.31,南,简装,中楼层,板楼,2050.0,121800.0,世纪城,4,30.0,4
157.93,西南,简装,高楼层,塔楼,980.0,62053.0,世纪城,2,30.0,3
99.52,西,精装,中楼层,塔楼,880.0,88425.0,世纪城,9,365.0,3
91.22,东,其他,中楼层,塔楼,720.0,78931.0,世纪城,23,300.0,3
173.54,南,其他,中楼层,板楼,2000.0,115248.0,世纪城,20,240.0,5
168.39,南,精装,高楼层,板楼,2200.0,130650.0,世纪城,7,30.0,5
173.19,西南,简装,低楼层,塔楼,1720.0,99313.0,世纪城,5,210.0,5
181.27,南,精装,中楼层,板楼,1950.0,107575.0,世纪城,4,60.0,4
105.82,东,精装,低楼层,塔楼,1200.0,113401.0,世纪城,18,60.0,3
173.54,南,简装,高楼层,板楼,2380.0,137145.0,世纪城,21,365.0,4
168.39,南,简装,中楼层,板楼,2250.0,133619.0,世纪城,24,365.0,5
99.64,西南,精装,中楼层,塔楼,830.0,83300.0,世纪城,6,30.0,3
153.96,南,简装,低楼层,板楼,1680.0,109120.0,世纪城,14,60.0,4
102.07,东南,简装,中楼层,塔楼,1095.0,107280.0,世纪城,12,240.0,3
97.35,西南,精装,中楼层,塔楼,980.0,100668.0,世纪城,15,120.0,3
108.79,西南,简装,高楼层,塔楼,1090.0,100194.0,世纪城,30,365.0,4
70.8,南,精装,高楼层,板楼,689.0,97317.0,世纪城,73,150.0,3
86.0,南,精装,高楼层,板楼,928.0,107907.0,世纪城,91,270.0,4
70.8,南,简装,低楼层,板楼,750.0,105933.0,世纪城,29,60.0,3
113.46,东南,精装,中楼层,塔楼,1180.0,104002.0,世纪城,21,365.0,4
99.7,东南,精装,中楼层,塔楼,850.0,85256.0,世纪城,53,365.0,4
156.47,西南,精装,低楼层,塔楼,1590.0,101617.0,世纪城,8,270.0,4
99.72,西,简装,低楼层,塔楼,950.0,95267.0,世纪城,5,30.0,4
99.0,东南,精装,中楼层,塔楼,913.0,92223.0,世纪城,5,17.0,4
98.71,南,简装,低楼层,塔楼,870.0,88137.0,世纪城,20,90.0,3
73.57,北,简装,中楼层,塔楼,760.0,103303.0,世纪城,17,60.0,3
83.57,西,精装,高楼层,塔楼,760.0,90942.0,世纪城,11,30.0,3
83.57,东,精装,中楼层,塔楼,795.0,95130.0,世纪城,17,90.0,3
84.43,西南,精装,中楼层,塔楼,800.0,94754.0,世纪城,114,365.0,3
160.36,南,精装,中楼层,板楼,1860.0,115990.0,世纪城,15,30.0,5
161.39,南,精装,中楼层,板楼,2200.0,136316.0,世纪城,11,365.0,5
103.52,东南,精装,高楼层,塔楼,1060.0,102396.0,世纪城,10,15.0,3
193.21,西南,精装,中楼层,塔楼,2000.0,103515.0,世纪城,13,365.0,5
170.57,西南,简装,低楼层,塔楼,1750.0,102598.0,世纪城,5,120.0,4
107.12,西南,精装,高楼层,塔楼,1280.0,119493.0,世纪城,6,30.0,3
176.82,南,精装,低楼层,板楼,1880.0,106323.0,世纪城,16,60.0,5
158.28,南,简装,低楼层,板楼,1700.0,107405.0,世纪城,7,150.0,4
90.22,东南,简装,低楼层,塔楼,780.0,86456.0,世纪城,21,270.0,3
190.27,南,精装,中楼层,板楼,2080.0,109319.0,世纪城,16,365.0,5
190.27,南,精装,低楼层,板楼,1910.0,100384.0,世纪城,23,270.0,5
114.7,东,简装,中楼层,塔楼,1280.0,111596.0,世纪城,18,30.0,4
63.3,西南,精装,低楼层,塔楼,555.0,87678.0,世纪城,22,60.0,3
114.7,东南,精装,低楼层,塔楼,1199.0,104534.0,世纪城,14,60.0,4
113.41,西南,精装,高楼层,塔楼,1200.0,105811.0,世纪城,14,120.0,4
134.81,西南,精装,中楼层,塔楼,1590.0,117944.0,世纪城,6,365.0,5
163.7,东南,精装,中楼层,塔楼,1580.0,96519.0,世纪城,19,60.0,5
157.29,南,简装,中楼层,板楼,1690.0,107445.0,世纪城,11,28.0,5
165.08,南,精装,低楼层,板楼,2300.0,139327.0,世纪城,12,90.0,5
181.85,南,简装,中楼层,板楼,2399.0,131922.0,世纪城,23,210.0,5
172.39,南,简装,中楼层,板楼,2250.0,130519.0,世纪城,7,28.0,5
165.58,南,精装,中楼层,板楼,2190.0,132263.0,世纪城,11,30.0,5
98.38,东南,精装,高楼层,塔楼,925.0,94024.0,世纪城,16,365.0,4
165.74,南,精装,中楼层,板楼,2480.0,149632.0,世纪城,39,365.0,4
93.56,南,精装,中楼层,板楼,1370.0,146431.0,世纪城,25,60.0,3
164.68,南,精装,低楼层,板楼,2500.0,151810.0,世纪城,3,10.0,5
172.62,南,其他,中楼层,板楼,2350.0,136138.0,世纪城,1,30.0,4
166.59,南,精装,中楼层,板楼,2400.0,144067.0,世纪城,2,21.0,5
181.51,南,简装,高楼层,板楼,2280.0,125613.0,世纪城,15,30.0,5
165.64,南,其他,中楼层,板楼,2200.0,132819.0,世纪城,8,30.0,5
164.32,南,精装,中楼层,板楼,2100.0,127800.0,世纪城,11,29.0,5
103.95,西南,精装,高楼层,塔楼,1280.0,123137.0,世纪城,7,28.0,3
172.63,南,精装,高楼层,板楼,2350.0,136130.0,世纪城,15,30.0,5
172.34,东南,简装,中楼层,塔楼,1880.0,109087.0,世纪城,7,150.0,4
164.15,东南,简装,中楼层,塔楼,1680.0,102346.0,世纪城,19,150.0,5
98.38,西南,精装,中楼层,塔楼,830.0,84367.0,世纪城,2,30.0,4
157.93,西南,精装,中楼层,塔楼,1050.0,66486.0,世纪城,1,90.0,3
91.52,东南,精装,中楼层,塔楼,930.0,101618.0,世纪城,67,150.0,3
51.88,南,精装,中楼层,板楼,510.0,98304.0,世纪城,23,90.0,2
51.88,南,简装,中楼层,板楼,550.0,106014.0,世纪城,7,90.0,2
51.88,南,简装,中楼层,板楼,510.0,98304.0,世纪城,18,120.0,2
176.82,南,精装,低楼层,板楼,1680.0,95012.0,世纪城,25,90.0,6
82.14,西南,精装,高楼层,塔楼,799.0,97273.0,世纪城,7,16.0,4
77.67,西南,精装,低楼层,塔楼,785.0,101069.0,世纪城,4,8.0,3
82.21,西南,简装,中楼层,塔楼,780.0,94879.0,世纪城,38,60.0,3
86.27,南,其他,低楼层,板楼,1090.0,126348.0,世纪城,23,60.0,3
85.81,南,简装,低楼层,塔楼,760.0,88568.0,世纪城,13,25.0,3
82.14,东南,其他,低楼层,塔楼,800.0,97395.0,世纪城,12,90.0,3
76.61,东南,精装,低楼层,塔楼,770.0,100510.0,世纪城,9,29.0,3
184.73,西南,简装,高楼层,板楼,2050.0,110973.0,世纪城,25,365.0,6
125.43,南,精装,低楼层,板楼,1670.0,133142.0,世纪城,20,28.0,5
89.58,西南,简装,低楼层,塔楼,810.0,90422.0,世纪城,40,60.0,3
121.32,西南,简装,低楼层,塔楼,1250.0,103034.0,世纪城,2,10.0,4
130.68,西南,简装,中楼层,塔楼,1630.0,124733.0,世纪城,48,365.0,4
89.21,南,精装,中楼层,塔楼,915.0,102567.0,世纪城,4,365.0,3
89.21,南,简装,高楼层,塔楼,820.0,91918.0,世纪城,8,210.0,3
128.72,南,精装,低楼层,板楼,1580.0,122748.0,世纪城,28,150.0,4
121.68,东南,精装,低楼层,塔楼,1299.0,106756.0,世纪城,11,90.0,4
124.37,南,精装,中楼层,板楼,1850.0,148750.0,世纪城,22,180.0,5
137.34,西南,精装,低楼层,塔楼,1398.0,101792.0,世纪城,6,11.0,4
101.75,西南,简装,低楼层,塔楼,1100.0,108109.0,知春路,2,30.0,3
209.82,东,精装,中楼层,板楼,1970.0,93891.0,世纪城,18,30.0,7
85.81,南,简装,高楼层,塔楼,800.0,93230.0,世纪城,3,150.0,2
170.1,南,简装,高楼层,塔楼,1280.0,75250.0,万柳,45,210.0,5
150.81,西南,精装,高楼层,塔楼,1650.0,109410.0,万柳,6,60.0,5
102.14,南,精装,低楼层,塔楼,970.0,94968.0,北太平庄,80,120.0,4
184.79,东南,精装,中楼层,塔楼,1400.0,75762.0,万柳,30,90.0,4
103.47,西南,精装,高楼层,塔楼,1045.0,100996.0,知春路,11,120.0,4
97.61,西南,精装,中楼层,塔楼,1029.0,105420.0,知春路,16,90.0,4
93.3,南,简装,中楼层,板楼,780.0,83602.0,紫竹桥,53,60.0,3
93.32,东南,精装,高楼层,板塔结合,887.0,95050.0,马甸,36,60.0,3
150.81,东南,精装,中楼层,塔楼,1950.0,129302.0,万柳,38,365.0,4
104.42,西南,简装,高楼层,塔楼,1220.0,116836.0,知春路,65,330.0,5
151.96,西,精装,中楼层,塔楼,1260.0,82917.0,苏州桥,18,240.0,5
101.42,东南,其他,低楼层,塔楼,1180.0,116348.0,知春路,18,365.0,3
103.74,西北,精装,中楼层,塔楼,990.0,95431.0,苏州桥,15,90.0,4
99.2,东,其他,高楼层,板塔结合,845.0,85182.0,马甸,39,330.0,4
196.53,南,精装,低楼层,板楼,3250.0,165370.0,世纪城,60,365.0,6
