area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
91.75,南 北,精装,顶层(共6层) ,板楼,210.0,22889.0,怀柔,2,120,4
93.05,南 北,精装,低楼层(共6层) ,板楼,195.0,20957.0,怀柔,3,30,4
93.18,南 北,其他,中楼层(共6层) ,板楼,255.0,27367.0,怀柔,5,120,5
90.48,南 北,其他,顶层(共6层) ,板楼,168.0,18568.0,怀柔,1,24,4
105.3,南 北,精装,低楼层(共12层),暂无数据,465.0,44160.0,怀柔,0,30,4
100.59,南 北,简装,中楼层(共6层) ,板楼,202.0,20082.0,怀柔,4,30,5
93.15,南,精装,低楼层(共6层),板楼,190.0,20398.0,怀柔,4,30,3
100.99,南 北,精装,高楼层(共6层) ,板塔结合,239.0,23666.0,怀柔,4,30,4
96.26,南 北,精装,3层 ,板楼,148.0,15376.0,怀柔,4,30,3
90.5,南 北,精装,高楼层(共6层) ,板楼,207.0,22873.0,怀柔,8,180,4
93.26,南 北,简装,底层(共7层),板楼,165.0,17693.0,怀柔,6,30,4
95.04,南 北,简装,中楼层(共6层) ,板楼,160.0,16836.0,怀柔,1,31,4
96.75,南 北,精装,中楼层(共6层) ,板楼,275.0,28424.0,怀柔,7,30,5
100.99,南 北,其他,低楼层(共6层) ,板塔结合,259.0,25647.0,怀柔,1,30,5
106.23,南 北,其他,中楼层(共6层) ,板楼,300.0,28241.0,怀柔,3,180,4
195.26,南 北,简装,2层 ,板楼,650.0,33289.0,怀柔,5,365,5
93.39,南 北,精装,底层(共5层),板楼,260.0,27841.0,怀柔,11,365,4
94.95,南 北,其他,顶层(共6层) ,板楼,285.0,30016.0,怀柔,0,270,4
100.0,南 北,其他,顶层(共4层),板楼,200.0,20000.0,怀柔,0,270,3
104.64,南 北,其他,底层(共15层) ,板楼,240.0,22936.0,怀柔,1,120,3
155.78,南 北,精装,中楼层(共8层),板楼,430.0,27604.0,怀柔,3,365,5
94.06,东 西,简装,高楼层(共6层) ,板楼,238.0,25303.0,怀柔,0,365,4
103.13,南 北,其他,顶层(共3层) ,板楼,328.0,31805.0,怀柔,3,365,5
96.8,南 北,简装,高楼层(共6层) ,板楼,238.0,24587.0,怀柔,6,365,4
109.36,南 北,其他,顶层(共5层),板楼,258.0,23592.0,怀柔,5,90,4
99.44,南 北,其他,顶层(共6层) ,板楼,185.0,18605.0,怀柔,0,150,4
97.49,南 北,精装,中楼层(共6层) ,板楼,290.0,29747.0,怀柔,1,365,4
108.77,南 北,其他,底层(共6层),板楼,285.0,26203.0,怀柔,0,365,5
160.51,东 西,其他,顶层(共5层) ,板楼,225.0,14018.0,怀柔,7,365,5
97.41,东 西,精装,中楼层(共5层),板楼,220.0,22585.0,怀柔,2,365,5
105.22,南 北,精装,低楼层(共8层) ,板楼,262.0,24901.0,怀柔,0,210,4
91.37,南 北,其他,顶层(共6层),板楼,205.0,22437.0,怀柔,1,180,4
94.88,南 北,其他,低楼层(共3层),板楼,238.0,25085.0,怀柔,2,300,4
105.2,南 西 北,精装,高楼层(共6层) ,板楼,220.0,20913.0,怀柔,4,270,5
91.96,南 北,精装,中楼层(共6层),板楼,290.0,31536.0,怀柔,1,365,4
90.89,南 北,其他,低楼层(共6层),板楼,252.0,27726.0,怀柔,1,150,4
92.7,南 北,其他,高楼层(共6层),板楼,260.0,28048.0,怀柔,2,365,4
91.37,南 北,精装,底层(共6层) ,板楼,240.0,26267.0,怀柔,1,365,5
93.18,南 北,其他,中楼层(共6层) ,板楼,315.0,33806.0,怀柔,1,240,4
100.99,南 北,精装,低楼层(共6层) ,板塔结合,350.0,34657.0,怀柔,4,365,5
109.61,南 北,其他,底层(共15层),板塔结合,370.0,33757.0,怀柔,7,210,5
101.67,南 北,精装,中楼层(共6层) ,板楼,399.0,39245.0,怀柔,2,365,5
102.9,南 北,其他,中楼层(共15层),板楼,238.0,23130.0,怀柔,2,210,5
107.8,南,精装,11层 ,板楼,168.0,15585.0,怀柔,8,210,4
108.05,南 北,精装,高楼层(共15层) ,板楼,220.0,20361.0,怀柔,6,365,5
98.77,南 北,其他,高楼层(共6层),板楼,265.0,26831.0,怀柔,1,365,4
90.42,南 北,其他,底层(共5层) ,板楼,260.0,28755.0,怀柔,0,365,4
96.61,南 北,其他,顶层(共6层) ,板塔结合,215.0,22255.0,怀柔,0,120,4
96.0,南 北,其他,高楼层(共6层) ,板塔结合,269.0,28021.0,怀柔,1,330,4
167.13,南 北,其他,底层(共8层),板楼,420.0,25131.0,怀柔,14,365,5
96.2,南 北,精装,中楼层(共6层),板楼,295.0,30666.0,怀柔,4,365,4
105.31,南 北,其他,中楼层(共15层) ,板楼,250.0,23740.0,怀柔,0,60,3
91.37,南 北,其他,顶层(共6层) ,板楼,235.0,25720.0,怀柔,1,270,4
104.76,南 北,简装,中楼层(共5层),板楼,230.0,21955.0,怀柔,1,365,5
90.54,南,精装,低楼层(共16层) ,板楼,295.0,32583.0,怀柔,3,180,3
104.89,南 北,简装,中楼层(共6层) ,板楼,190.0,18115.0,怀柔,3,60,4
102.9,南,其他,高楼层(共15层),板楼,240.0,23324.0,怀柔,1,365,5
107.42,南 北,其他,顶层(共6层),板楼,380.0,35376.0,怀柔,0,180,5
107.96,北 南,简装,中楼层(共6层),板楼,256.0,23713.0,怀柔,1,60,5
99.38,南 北,精装,顶层(共6层) ,板楼,220.0,22138.0,怀柔,0,150,4
93.97,南 北,其他,中楼层(共6层) ,板楼,205.0,21816.0,怀柔,0,180,4
107.91,南 北,其他,高楼层(共6层),板楼,345.0,31972.0,怀柔,0,150,5
96.05,南 北,精装,低楼层(共6层) ,板楼,275.0,28631.0,怀柔,14,365,5
107.0,南 北,其他,顶层(共6层) ,板楼,290.0,27103.0,怀柔,6,365,4
92.1,南 北,其他,底层(共6层) ,板楼,245.0,26602.0,怀柔,9,365,4
90.64,南 北,其他,低楼层(共6层) ,板楼,310.0,34202.0,怀柔,0,30,4
95.8,东 西,精装,低楼层(共7层),板楼,235.0,24531.0,怀柔,16,365,3
95.04,南 北,简装,高楼层(共6层) ,板楼,180.0,18940.0,怀柔,0,240,5
91.37,南 北,其他,中楼层(共6层) ,板楼,243.0,26596.0,怀柔,2,365,5
94.3,南 北,精装,顶层(共6层) ,板楼,150.0,15907.0,怀柔,5,210,3
93.61,东 西,其他,中楼层(共6层) ,板楼,240.0,25639.0,怀柔,2,180,5
101.26,南 北,其他,低楼层(共6层) ,板楼,249.0,24591.0,怀柔,0,90,5
90.61,南 北,其他,高楼层(共6层),板楼,239.0,26377.0,怀柔,0,210,3
92.9,南 北,简装,低楼层(共6层) ,板楼,258.0,27772.0,怀柔,0,150,4
91.14,南 北,简装,高楼层(共6层) ,板楼,210.0,23042.0,怀柔,3,365,4
98.75,南 北,精装,中楼层(共8层),板楼,230.0,23292.0,怀柔,5,365,3
96.2,南 北,其他,高楼层(共6层) ,板楼,280.0,29107.0,怀柔,0,150,3
106.84,南 北,精装,6层 ,板楼,398.0,37252.0,怀柔,0,30,5
99.09,南 北,简装,中楼层(共7层) ,板楼,218.0,22001.0,怀柔,1,365,5
96.49,南 北,其他,顶层(共6层),板楼,230.0,23837.0,怀柔,6,365,3
98.72,南 北,其他,顶层(共6层),板楼,200.0,20260.0,怀柔,4,365,4
161.82,南 北,精装,中楼层(共6层) ,板楼,390.0,24101.0,怀柔,7,365,4
101.69,西南 西,精装,高楼层(共6层) ,板楼,300.0,29502.0,怀柔,2,365,5
100.54,南 北,其他,底层(共15层),板楼,340.0,33818.0,怀柔,2,210,4
91.23,南 北,精装,中楼层(共4层),板楼,236.0,25869.0,怀柔,4,210,3
94.11,南 北,其他,底层(共6层) ,板楼,178.0,18915.0,怀柔,1,60,3
98.13,南 北,简装,顶层(共6层),板楼,199.0,20280.0,怀柔,3,365,5
95.04,南 北,精装,中楼层(共6层) ,板楼,185.0,19466.0,怀柔,5,365,4
90.05,南 北,精装,中楼层(共5层),板楼,208.0,23099.0,怀柔,14,365,4
100.75,北 南,其他,顶层(共6层),板楼,298.0,29579.0,怀柔,6,365,5
102.75,南 北,其他,中楼层(共6层) ,板楼,338.0,32896.0,怀柔,7,150,5
106.44,南 北,其他,底层(共6层) ,板楼,310.0,29125.0,怀柔,4,270,4
103.2,南 北,其他,中楼层(共8层),板楼,268.0,25969.0,怀柔,2,240,4
106.37,南 北,精装,中楼层(共6层),板楼,380.0,35725.0,怀柔,0,90,5
97.07,南 北,其他,中楼层(共4层) ,板楼,258.0,26579.0,怀柔,1,180,4
104.89,南 北,简装,高楼层(共6层),板楼,212.0,20212.0,怀柔,5,365,4
93.84,东 西,简装,高楼层(共6层),板楼,235.0,25043.0,怀柔,6,365,4
101.88,南 北,精装,低楼层(共14层) ,板楼,205.0,20122.0,怀柔,3,300,3
95.95,南 北,精装,顶层(共6层),板楼,180.0,18760.0,怀柔,3,365,4
91.11,南 北,简装,顶层(共6层) ,板楼,182.0,19976.0,怀柔,3,270,4
96.5,南 北,其他,顶层(共6层) ,板楼,215.0,22280.0,怀柔,1,60,4
96.2,东 西,其他,顶层(共6层) ,板楼,205.0,21310.0,怀柔,1,240,4
157.19,南 北,简装,高楼层(共6层),板楼,340.0,21630.0,怀柔,4,365,5
164.18,西 南,精装,24层,塔楼,393.0,23938.0,怀柔,3,270,5
103.59,南 北,简装,顶层(共6层),板楼,275.0,26547.0,怀柔,0,90,5
103.51,南 北,精装,中楼层(共6层) ,板楼,296.0,28597.0,怀柔,3,90,4
102.9,南 北,简装,高楼层(共15层),板楼,235.0,22838.0,怀柔,1,120,4
92.42,南 北,简装,低楼层(共6层),板楼,174.0,18828.0,怀柔,5,365,4
104.25,南 北,精装,高楼层(共14层),板楼,230.0,22063.0,怀柔,5,365,5
101.26,南 北,精装,中楼层(共6层) ,板楼,285.0,28146.0,怀柔,0,365,4
97.24,南 北,精装,高楼层(共8层),板楼,278.0,28590.0,怀柔,2,365,3
91.74,南,其他,中楼层(共7层),板楼,275.0,29977.0,怀柔,10,365,3
108.48,南 北,其他,顶层(共6层) ,板楼,225.0,20742.0,怀柔,4,365,5
101.21,南 北,其他,中楼层(共6层) ,板楼,330.0,32606.0,怀柔,3,210,4
101.91,东 西,其他,中楼层(共7层),板楼,260.0,25513.0,怀柔,0,30,3
99.44,南 北,其他,顶层(共6层) ,板楼,255.0,25644.0,怀柔,2,300,4
99.0,南 北,精装,中楼层(共6层),板楼,220.0,22223.0,怀柔,1,365,4
94.92,南 北,其他,低楼层(共6层) ,板楼,280.0,29499.0,怀柔,3,30,5
96.59,南 北,简装,中楼层(共5层) ,板楼,305.0,31577.0,怀柔,1,60,4
93.26,南 北,精装,中楼层(共7层),板楼,240.0,25735.0,怀柔,1,210,4
92.79,南,简装,中楼层(共5层) ,板楼,195.0,21016.0,怀柔,11,180,3
104.04,南 北,其他,高楼层(共6层) ,板楼,175.0,16821.0,怀柔,0,30,4
92.7,南 北,精装,中楼层(共6层) ,板楼,220.0,23733.0,怀柔,2,30,3
95.66,南 西 北,精装,中楼层(共6层) ,板楼,190.0,19863.0,怀柔,11,365,5
100.59,南 北,精装,顶层(共6层) ,板楼,225.0,22369.0,怀柔,0,365,4
95.32,南 北,精装,顶层(共6层) ,板楼,289.0,30319.0,怀柔,0,31,4
101.41,南 北,精装,高楼层(共8层),板楼,248.0,24456.0,怀柔,2,365,3
108.81,南 北,精装,顶层(共6层) ,板楼,218.0,20035.0,怀柔,1,240,5
100.04,南 北,其他,中楼层(共6层),板楼,200.0,19993.0,怀柔,0,60,4
98.44,南 北,简装,顶层(共6层),板楼,260.0,26413.0,怀柔,0,60,4
98.68,南 北,简装,中楼层(共6层) ,板楼,255.0,25842.0,怀柔,1,29,4
103.62,南 北,精装,中楼层(共6层) ,板楼,330.0,31848.0,怀柔,2,365,4
95.95,南 北,精装,高楼层(共6层) ,板楼,185.0,19281.0,怀柔,1,150,4
98.55,南 北,其他,中楼层(共7层) ,板楼,280.0,28412.0,怀柔,0,29,4
108.45,南 北,精装,高楼层(共6层),板楼,269.0,24805.0,怀柔,1,365,5
100.09,南 北,简装,中楼层(共6层),板楼,295.0,29474.0,怀柔,2,365,5
95.77,南 北,简装,顶层(共6层),板楼,170.0,17751.0,怀柔,0,29,3
91.97,南,其他,中楼层(共7层),板楼,220.0,23921.0,怀柔,6,180,4
90.08,南 北,简装,底层(共8层),板楼,280.0,31084.0,怀柔,12,365,3
93.26,南 北,简装,高楼层(共7层),板楼,250.0,26807.0,怀柔,7,365,4
155.3,南 北,其他,顶层(共6层) ,板楼,360.0,23181.0,怀柔,1,90,6
91.77,南 北,其他,顶层(共5层) ,板塔结合,195.0,21249.0,怀柔,0,210,5
109.0,南 北,其他,顶层(共6层) ,板楼,199.0,18257.0,怀柔,3,120,4
93.8,南 北,简装,顶层(共6层),板楼,186.0,19830.0,怀柔,1,27,3
107.4,南 北,其他,中楼层(共6层) ,板楼,260.0,24209.0,怀柔,0,29,4
90.37,南 北,简装,中楼层(共6层) ,板楼,258.0,28550.0,怀柔,0,120,5
