area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
100.65,西南,简装,高楼层(共28层) ,板塔结合,409.0,40636.0,通州北苑,23,60,4
96.27,南,精装,高楼层(共10层) ,板塔结合,365.0,37915.0,潞苑,14,90,3
91.04,南 北,精装,中楼层(共14层),板楼,338.0,37127.0,临河里,23,90,3
107.02,南 北,简装,中楼层(共27层),塔楼,395.0,36909.0,九棵树(家乐福),25,240,4
93.35,南 西北,精装,中楼层(共25层),塔楼,268.0,28710.0,北关,53,60,3
90.03,南 北,简装,中楼层(共6层) ,板楼,289.0,32101.0,九棵树(家乐福),10,20,4
100.27,南 北,精装,中楼层(共6层),板楼,319.0,31815.0,九棵树(家乐福),62,270,4
97.54,南 北,简装,高楼层(共6层),板楼,338.0,34653.0,果园,10,210,4
174.63,南 北,简装,高楼层(共7层) ,板楼,520.0,29778.0,乔庄,26,90,5
106.92,南 北,精装,高楼层(共18层) ,板楼,330.0,30865.0,通州其它,3,5,3
102.78,南 北,简装,低楼层(共31层),板楼,375.0,36486.0,通州北苑,27,60,4
98.04,东南,精装,15层 ,塔楼,225.0,22950.0,马驹桥,3,30,3
94.26,南 北,精装,中楼层(共6层) ,板楼,259.0,27478.0,潞苑,5,7,4
102.99,南 北,精装,顶层(共6层) ,板楼,339.0,32916.0,九棵树(家乐福),7,12,5
104.42,南 北 东,简装,高楼层(共6层),板楼,399.0,38212.0,武夷花园,14,150,4
106.4,南 北,简装,顶层(共13层),板楼,370.0,34775.0,梨园,16,120,3
108.38,东 南 北,精装,高楼层(共21层),板楼,350.0,32294.0,潞苑,15,90,4
104.97,南 北,简装,底层(共6层),板楼,386.0,36773.0,武夷花园,24,150,3
99.97,东南,精装,高楼层(共29层),板塔结合,408.0,40813.0,通州北苑,24,90,4
152.27,南 北,简装,高楼层(共12层),板塔结合,525.0,34479.0,武夷花园,5,7,5
104.51,南 北,简装,高楼层(共26层),板楼,407.0,38944.0,通州北苑,6,30,4
107.43,南 北,精装,高楼层(共12层),板楼,406.0,37793.0,九棵树(家乐福),11,25,3
97.72,南 北,简装,低楼层(共18层),板楼,318.0,32542.0,果园,33,90,4
105.63,南 北,精装,高楼层(共21层),板楼,373.0,35312.0,北关,11,60,5
92.91,南 北,简装,高楼层(共26层),板楼,288.0,30998.0,临河里,14,30,4
100.24,南 北,简装,中楼层(共24层) ,板塔结合,415.0,41401.0,临河里,5,9,4
94.3,南 北,简装,中楼层(共6层) ,板楼,330.0,34995.0,武夷花园,0,5,3
100.58,西南,精装,高楼层(共20层),板楼,350.0,34799.0,马驹桥,2,60,4
100.59,西南,简装,中楼层(共6层),板楼,306.0,30421.0,通州北苑,14,90,3
93.89,南 北,简装,顶层(共6层) ,板楼,265.0,28225.0,玉桥,5,60,4
151.24,南 北,精装,22层,板塔结合,760.0,50252.0,临河里,7,365,5
103.31,南 北,精装,中楼层(共5层),板楼,1060.0,102604.0,通州其它,13,270,6
160.54,南 北,简装,低楼层(共24层),板楼,799.0,49770.0,武夷花园,10,120,5
192.66,南 北,精装,低楼层(共8层),板楼,1080.0,56058.0,九棵树(家乐福),25,365,4
154.98,南 北,精装,中楼层(共27层),板楼,760.0,49039.0,玉桥,3,60,5
162.64,南 北,精装,中楼层(共9层) ,板楼,1100.0,67635.0,九棵树(家乐福),6,330,5
151.95,南,精装,低楼层(共28层) ,板塔结合,1100.0,72393.0,武夷花园,9,90,4
162.53,南 北,精装,顶层(共18层),板楼,1080.0,66450.0,万达,9,120,5
92.1,南 北,精装,底层(共27层) ,板楼,760.0,82520.0,九棵树(家乐福),5,210,5
164.7,南 北,精装,低楼层(共31层),板楼,798.0,48452.0,九棵树(家乐福),11,60,5
167.74,西北,其他,中楼层(共42层),塔楼,800.0,47693.0,北关,17,365,4
181.22,南 北,简装,底层(共6层) ,板楼,800.0,44146.0,武夷花园,8,60,4
104.36,南 北,毛坯,底层(共27层),板楼,780.0,74742.0,九棵树(家乐福),6,210,4
153.45,南 北,精装,顶层(共13层),板楼,770.0,50180.0,九棵树(家乐福),8,27,5
195.71,北,其他,高楼层(共42层),塔楼,1090.0,55695.0,北关,9,300,4
160.18,南 北,简装,底层(共5层) ,板楼,760.0,47447.0,马驹桥,6,270,5
151.53,南 北,精装,低楼层(共21层),板楼,759.0,50090.0,临河里,0,30,5
151.95,南,精装,高楼层(共28层) ,板塔结合,1090.0,71735.0,武夷花园,18,150,5
164.18,南 北,其他,顶层(共11层),板楼,800.0,48728.0,武夷花园,3,12,6
163.59,南 北,精装,低楼层(共9层) ,板楼,758.0,46336.0,临河里,1,5,5
159.75,南 北,精装,中楼层(共8层),板楼,1080.0,67606.0,九棵树(家乐福),8,60,5
193.54,南 西 北,精装,中楼层(共6层),板楼,769.0,39734.0,果园,22,365,5
173.36,西南 北,简装,低楼层(共6层) ,板楼,760.0,43840.0,临河里,8,21,4
174.9,南 北,精装,底层(共5层) ,板楼,800.0,45741.0,果园,8,120,5
161.46,南 北,精装,高楼层(共18层) ,板塔结合,768.0,47566.0,通州北苑,35,210,5
180.12,南 北,精装,26层,板楼,1080.0,59961.0,玉桥,4,150,5
180.12,南 北,精装,26层,板楼,1100.0,61071.0,玉桥,1,24,5
154.98,南 北,其他,中楼层(共27层),板楼,770.0,49684.0,玉桥,0,6,5
151.28,南 北,精装,中楼层(共32层),板楼,779.0,51494.0,武夷花园,16,30,5
165.12,南 北,其他,低楼层(共31层) ,板楼,778.0,47118.0,九棵树(家乐福),4,30,5
161.9,南 北 西,简装,35层,板塔结合,760.0,46943.0,武夷花园,16,90,5
151.97,南 北,精装,高楼层(共27层) ,板塔结合,799.0,52577.0,临河里,8,210,5
106.5,南 北,简装,高楼层(共6层),板楼,279.0,26198.0,九棵树(家乐福),5,10,3
93.64,南 北,简装,低楼层(共10层),板楼,369.0,39407.0,通州北苑,14,90,4
95.03,南,精装,高楼层(共10层),板塔结合,365.0,38409.0,潞苑,14,240,3
105.7,南 北,精装,低楼层(共21层),板楼,345.0,32640.0,北关,29,90,5
105.45,南 北,简装,底层(共6层) ,板楼,286.0,27122.0,潞苑,23,180,4
90.03,东 西,简装,高楼层(共22层),板塔结合,249.0,27658.0,九棵树(家乐福),10,90,3
92.27,南 北,其他,中楼层(共6层) ,板楼,260.0,28179.0,万达,3,60,3
102.02,南 北,精装,高楼层(共6层) ,板楼,359.0,35190.0,北关,12,90,3
90.38,南 北,简装,底层(共11层) ,板楼,315.0,34853.0,临河里,15,30,3
97.77,南 北,精装,底层(共6层) ,板楼,399.0,40811.0,梨园,32,210,5
104.72,南 北,精装,高楼层(共18层) ,板楼,367.0,35046.0,北关,3,14,5
90.9,南 北,简装,底层(共6层) ,板楼,325.0,35754.0,万达,6,5,4
102.93,南,简装,中楼层(共11层),板塔结合,408.0,39639.0,乔庄,10,90,4
102.03,南 北,精装,中楼层(共7层) ,板楼,416.0,40773.0,武夷花园,52,180,3
90.46,南 北,精装,中楼层(共6层) ,板楼,289.0,31948.0,梨园,6,30,4
95.54,南 北,精装,中楼层(共6层) ,板楼,310.0,32448.0,通州北苑,12,30,4
93.63,南 北,简装,低楼层(共9层) ,板楼,325.0,34712.0,九棵树(家乐福),9,60,3
91.56,东北,简装,30层,板塔结合,369.0,40302.0,武夷花园,11,30,4
97.23,西北,简装,中楼层(共28层),塔楼,319.0,32809.0,武夷花园,9,18,3
91.71,南 北,简装,高楼层(共17层) ,板楼,347.0,37837.0,梨园,16,30,4
101.05,南 北,简装,高楼层(共13层) ,板楼,455.0,45028.0,武夷花园,5,30,3
98.38,南 北,精装,中楼层(共8层) ,板楼,130.0,13215.0,通州其它,9,60,4
90.01,南 北,其他,高楼层(共21层) ,板楼,305.0,33886.0,通州其它,3,60,5
99.57,南,精装,高楼层(共27层) ,板塔结合,390.0,39169.0,武夷花园,3,6,4
109.57,南,简装,顶层(共6层),板塔结合,309.0,28202.0,万达,6,14,5
90.65,西南,精装,低楼层(共27层) ,板塔结合,424.0,46774.0,临河里,18,60,3
93.11,南,精装,低楼层(共28层),板塔结合,365.0,39201.0,临河里,22,25,4
97.84,东南,精装,高楼层(共24层),塔楼,450.0,45994.0,万达,30,365,4
101.02,南 北,精装,低楼层(共8层) ,板楼,285.0,28213.0,通州其它,36,330,5
103.74,南 北,精装,高楼层(共28层),板塔结合,408.0,39330.0,武夷花园,97,90,4
90.47,西,简装,22层,板塔结合,241.0,26639.0,九棵树(家乐福),4,22,3
186.42,南 北,精装,中楼层(共26层),板楼,680.0,36477.0,万达,15,30,4
100.24,南 北,精装,中楼层(共6层),板楼,403.0,40204.0,北关,24,210,3
99.75,南 北,简装,低楼层(共10层) ,板楼,359.0,35990.0,梨园,21,90,3
90.58,南,其他,低楼层(共27层),板塔结合,385.0,42504.0,临河里,25,120,3
92.35,南 北,简装,高楼层(共6层),板楼,256.0,27721.0,北关,8,90,4
109.19,南 北,简装,中楼层(共14层),板楼,418.0,38282.0,梨园,25,240,4
92.37,南,精装,35层,板塔结合,430.0,46552.0,武夷花园,17,30,3
102.03,南 北,精装,高楼层(共12层),板塔结合,398.0,39009.0,武夷花园,56,150,4
90.57,南 北,毛坯,顶层(共17层) ,板楼,269.0,29701.0,北关,22,60,4
104.85,南 北,精装,中楼层(共6层) ,板楼,259.0,24702.0,潞苑,12,9,4
104.78,南 北,简装,顶层(共6层),板楼,285.0,27200.0,武夷花园,22,90,4
101.22,南 北,简装,中楼层(共5层) ,板楼,479.0,47323.0,武夷花园,20,60,4
92.37,南,简装,35层,板塔结合,450.0,48718.0,武夷花园,2,5,3
152.82,南 北,精装,中楼层(共7层),板楼,639.0,41814.0,武夷花园,13,90,5
90.02,南 北,简装,低楼层(共14层),板塔结合,380.0,42213.0,梨园,7,7,3
90.97,南,简装,32层,板楼,375.0,41223.0,武夷花园,43,30,3
162.61,南,简装,顶层(共11层),板楼,579.0,35607.0,武夷花园,34,90,5
93.29,南 北,精装,顶层(共11层),板楼,340.0,36446.0,马驹桥,28,150,5
90.61,南 北,精装,低楼层(共16层) ,板楼,539.0,59486.0,九棵树(家乐福),29,150,5
98.86,南 北,简装,中楼层(共6层) ,板楼,345.0,34898.0,临河里,8,30,4
91.4,南 北,精装,高楼层(共18层),板楼,546.0,59738.0,万达,27,90,4
104.89,南 北,简装,中楼层(共6层) ,板楼,270.0,25742.0,潞苑,23,120,3
96.35,南 北,其他,中楼层(共15层),板楼,348.0,36119.0,梨园,4,90,3
91.66,东 西,精装,中楼层(共6层) ,板楼,269.0,29348.0,北关,15,30,3
104.85,南 北,简装,高楼层(共6层) ,板楼,210.0,20029.0,潞苑,8,20,4
97.42,南,精装,高楼层(共9层),板楼,375.0,38494.0,果园,11,6,3
153.34,南 北,精装,中楼层(共5层) ,板楼,459.0,29934.0,马驹桥,2,9,5
98.91,南 北,简装,顶层(共6层),板楼,259.0,26186.0,梨园,15,30,3
93.27,东 南 北,简装,18层,板楼,425.0,45567.0,武夷花园,41,150,3
103.78,南 北,简装,低楼层(共6层),板楼,369.0,35556.0,北关,32,150,4
104.31,南 北,精装,高楼层(共26层),板楼,425.0,40744.0,通州北苑,6,25,5
155.05,南 北,精装,高楼层(共16层),板塔结合,610.0,39343.0,通州北苑,56,180,5
101.04,南 北,精装,顶层(共10层) ,板楼,556.0,55028.0,九棵树(家乐福),12,120,4
101.99,南,简装,底层(共10层),板塔结合,470.0,46083.0,武夷花园,35,60,4
95.98,南 北,简装,中楼层(共28层) ,板塔结合,319.0,33237.0,潞苑,4,17,3
104.0,南 北,简装,底层(共6层) ,板楼,120.0,11539.0,通州其它,17,30,5
98.9,南 北,简装,中楼层(共5层) ,板楼,318.0,32154.0,梨园,3,21,3
92.13,南 北,精装,低楼层(共20层),板楼,378.0,41029.0,临河里,15,60,3
90.32,南 北,精装,32层,板楼,370.0,40966.0,武夷花园,22,30,4
97.72,南 北,简装,低楼层(共18层),板楼,305.0,31212.0,果园,16,30,3
99.34,南 北,简装,高楼层(共6层) ,板楼,346.0,34830.0,乔庄,2,330,5
100.58,西南,精装,低楼层(共16层),板楼,468.0,46531.0,临河里,3,15,4
95.35,南 北,精装,顶层(共11层) ,板楼,119.0,12481.0,通州其它,13,60,4
92.76,南 北,简装,顶层(共6层) ,板楼,229.0,24688.0,万达,6,365,4
96.25,南,精装,14层,板楼,235.0,24416.0,马驹桥,9,60,3
102.09,南 北,精装,底层(共7层),板楼,372.0,36439.0,果园,31,60,3
95.22,南 北,简装,高楼层(共6层),板楼,359.0,37703.0,九棵树(家乐福),18,365,3
96.36,南 北,精装,高楼层(共6层) ,板楼,300.0,31134.0,果园,11,90,4
91.4,南,精装,27层,板楼,538.0,58863.0,九棵树(家乐福),1,210,3
92.25,东 西 北,精装,低楼层(共6层),板楼,269.0,29160.0,万达,3,7,4
90.49,南 北,简装,中楼层(共7层),板楼,315.0,34811.0,果园,83,120,3
97.29,南 北,简装,低楼层(共6层) ,板楼,326.0,33509.0,乔庄,4,120,4
91.95,南 北,精装,中楼层(共21层) ,板楼,320.0,34802.0,潞苑,11,30,4
157.61,南 北,毛坯,3层,板楼,288.0,18273.0,通州其它,48,180,4
91.32,东 西,精装,14层,板楼,211.0,23106.0,马驹桥,3,15,3
93.54,南 北,简装,中楼层(共10层) ,板楼,379.0,40518.0,通州北苑,19,23,4
103.5,南 北,简装,低楼层(共7层) ,板楼,299.0,28889.0,北关,12,30,4
90.57,南 北,简装,高楼层(共21层),板塔结合,317.0,35001.0,潞苑,5,12,4
100.21,南 北,简装,中楼层(共6层),板楼,366.0,36524.0,万达,25,60,5
96.21,南 北,精装,中楼层(共7层) ,板楼,328.0,34093.0,果园,14,60,4
91.74,南 北,简装,中楼层(共10层) ,板楼,419.0,45673.0,通州北苑,21,120,4
104.52,南 北,简装,中楼层(共6层) ,板楼,375.0,35879.0,北关,39,90,4
94.6,南,简装,10层,板塔结合,550.0,58140.0,武夷花园,11,19,4
93.16,南 北,精装,高楼层(共10层),板塔结合,345.0,37034.0,潞苑,2,30,3
98.22,南,简装,中楼层(共9层) ,板塔结合,349.0,35533.0,潞苑,5,25,4
91.88,南 北,其他,6层,板楼,226.0,24598.0,马驹桥,10,365,3
96.69,南 北,简装,高楼层(共7层),板楼,345.0,35682.0,果园,2,60,3
166.52,南 北,精装,高楼层(共31层) ,板楼,865.0,51946.0,九棵树(家乐福),22,365,5
