title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
景泰西里西区 ,2室1厅,90.56平米,东 西,简装,11层 ,板塔结合,,626,"69,126元/平",永定门,5人关注,4个月以前发布
华龙美晟 ,3室1厅,96.8平米,东,简装,低楼层(共12层) ,板塔结合,,829,"85,641元/平",永定门,32人关注,一年前发布
天娇园 ,2室1厅,91.48平米,东,简装,中楼层(共11层),2008年,板塔结合,939,"102,646元/平",东花市,7人关注,4个月以前发布
景泰嘉园 ,2室1厅,104平米,南,精装,中楼层(共12层),2002年,塔楼,850,"81,731元/平",永定门,18人关注,3个月以前发布
新世界家园 ,3室2厅,163.99平米,南 北,精装,高楼层(共12层) ,板楼,,2300,"140,253元/平",崇文门,12人关注,2个月以前发布
东花市北里中区 ,3室2厅,101.62平米,南 北,其他,低楼层(共6层) ,板楼,,1220,"120,056元/平",东花市,1人关注,11天以前发布
天利园 ,2室1厅,92.84平米,南 北,精装,底层(共16层),2003年,板塔结合,899,"96,834元/平",广渠门,0人关注,1个月以前发布
东花市北里中区 ,2室2厅,95.11平米,南 北,精装,中楼层(共5层) ,板楼,,888,"93,366元/平",东花市,29人关注,4个月以前发布
法华南里 ,3室1厅,97.93平米,南 北,其他,地下室(共6层),1990年,板楼,830,"84,755元/平",崇文门,4人关注,1个月以前发布
左安浦园 ,2室1厅,96.64平米,西,简装,底层(共14层),2004年,板塔结合,699,"72,331元/平",左安门,5人关注,1个月以前发布
板厂新里 ,2室1厅,102.06平米,南 北,简装,顶层(共4层),1990年,板楼,1165,"114,149元/平",广渠门,22人关注,一年前发布
东花市北里中区 ,2室2厅,105.81平米,南 北,简装,中楼层(共5层) ,板楼,,960,"90,729元/平",东花市,6人关注,11天以前发布
兴隆都市馨园 ,3室2厅,99.54平米,南,精装,高楼层(共7层) ,板楼,,860,"86,398元/平",崇文门,118人关注,一年前发布
交道口东大街 ,3室2厅,101.28平米,南 西 北,简装,顶层(共9层) ,板塔结合,,1350,"133,294元/平",交道口,11人关注,3个月以前发布
崇文门东大街 ,3室1厅,104.99平米,南 北,其他,17层 ,塔楼,,899,"85,628元/平",崇文门,9人关注,1个月以前发布
兴隆都市馨园 ,3室1厅,94.59平米,南 北,其他,高楼层(共7层),2003年,板楼,748,"79,079元/平",崇文门,8人关注,5个月以前发布
东四块玉南街4号院 ,3室1厅,153.68平米,南 北,其他,中楼层(共9层) ,板楼,,1620,"105,414元/平",左安门,3人关注,2个月以前发布
东中街 ,3室1厅,156.14平米,南 北,精装,中楼层(共9层) ,板塔结合,,1488,"95,300元/平",东直门,43人关注,6个月以前发布
