title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
景泰西里西区 ,2室1厅,90.56,东 西,简装,11层 ,暂无数据,板塔结合,626,69126.0,永定门,5人关注,4个月以前发布
华龙美晟 ,3室1厅,96.8,东,简装,低楼层(共12层) ,暂无数据,板塔结合,829,85641.0,永定门,32人关注,一年前发布
天娇园 ,2室1厅,91.48,东,简装,中楼层(共11层),2008年,板塔结合,939,102646.0,东花市,7人关注,4个月以前发布
景泰嘉园 ,2室1厅,104.0,南,精装,中楼层(共12层),2002年,塔楼,850,81731.0,永定门,18人关注,3个月以前发布
新世界家园 ,3室2厅,163.99,南 北,精装,高楼层(共12层) ,暂无数据,板楼,2300,140253.0,崇文门,12人关注,2个月以前发布
东花市北里中区 ,3室2厅,101.62,南 北,其他,低楼层(共6层) ,暂无数据,板楼,1220,120056.0,东花市,1人关注,11天以前发布
天利园 ,2室1厅,92.84,南 北,精装,底层(共16层),2003年,板塔结合,899,96834.0,广渠门,0人关注,1个月以前发布
东花市北里中区 ,2室2厅,95.11,南 北,精装,中楼层(共5层) ,暂无数据,板楼,888,93366.0,东花市,29人关注,4个月以前发布
法华南里 ,3室1厅,97.93,南 北,其他,地下室(共6层),1990年,板楼,830,84755.0,崇文门,4人关注,1个月以前发布
左安浦园 ,2室1厅,96.64,西,简装,底层(共14层),2004年,板塔结合,699,72331.0,左安门,5人关注,1个月以前发布
板厂新里 ,2室1厅,102.06,南 北,简装,顶层(共4层),1990年,板楼,1165,114149.0,广渠门,22人关注,一年前发布
东花市北里中区 ,2室2厅,105.81,南 北,简装,中楼层(共5层) ,暂无数据,板楼,960,90729.0,东花市,6人关注,11天以前发布
兴隆都市馨园 ,3室2厅,99.54,南,精装,高楼层(共7层) ,暂无数据,板楼,860,86398.0,崇文门,118人关注,一年前发布
交道口东大街 ,3室2厅,101.28,南 西 北,简装,顶层(共9层) ,暂无数据,板塔结合,1350,133294.0,交道口,11人关注,3个月以前发布
崇文门东大街 ,3室1厅,104.99,南 北,其他,17层 ,暂无数据,塔楼,899,85628.0,崇文门,9人关注,1个月以前发布
兴隆都市馨园 ,3室1厅,94.59,南 北,其他,高楼层(共7层),2003年,板楼,748,79079.0,崇文门,8人关注,5个月以前发布
东四块玉南街4号院 ,3室1厅,153.68,南 北,其他,中楼层(共9层) ,暂无数据,板楼,1620,105414.0,左安门,3人关注,2个月以前发布
东中街 ,3室1厅,156.14,南 北,精装,中楼层(共9层) ,暂无数据,板塔结合,1488,95300.0,东直门,43人关注,6个月以前发布
海运仓小区 ,3室1厅,93.86,东北,其他,底层(共6层) ,暂无数据,板楼,920,98019.0,东直门,12人关注,3个月以前发布
花市枣苑三期 ,2室1厅,94.07,东 北,简装,中楼层(共17层) ,暂无数据,塔楼,1050,111620.0,东花市,3人关注,1个月以前发布
新景家园东区 ,3室1厅,90.65,南 北,精装,中楼层(共16层) ,暂无数据,板楼,995,109763.0,崇文门,7人关注,1个月以前发布
安馨园 ,3室1厅,162.17,北 南,精装,中楼层(共6层) ,暂无数据,板楼,2500,154160.0,安定门,3人关注,12天以前发布
新裕家园 ,2室1厅,102.06,南 北,简装,顶层(共17层) ,暂无数据,板楼,1280,125417.0,崇文门,46人关注,8个月以前发布
天利园 ,2室1厅,90.58,南 北,简装,低楼层(共16层),2003年,板塔结合,1023,112939.0,广渠门,19人关注,一年前发布
万国城MOMA ,2室1厅,91.98,西北,精装,底层(共26层) ,暂无数据,板塔结合,1200,130464.0,东直门,17人关注,6个月以前发布
新怡家园 ,3室2厅,177.91,南 北,精装,低楼层(共15层) ,暂无数据,板楼,2560,143893.0,崇文门,12人关注,2个月以前发布
法华南里 ,3室1厅,166.07,南 北,简装,中楼层(共6层),1996年,板楼,1350,81292.0,崇文门,41人关注,7个月以前发布
望坛新苑 ,3室1厅,98.85,南 北,精装,10层 ,暂无数据,板楼,870,88013.0,永定门,47人关注,1个月以前发布
水上华城 ,3室2厅,197.85,东南,精装,高楼层(共24层) ,暂无数据,板塔结合,1950,98560.0,广渠门,26人关注,5个月以前发布
东花市北里中区 ,2室2厅,101.83,南 北,精装,高楼层(共6层) ,暂无数据,板楼,899,88285.0,东花市,10人关注,一年前发布
体育馆路13号 ,3室1厅,101.38,南 北,其他,高楼层(共6层) ,暂无数据,板楼,1050,103571.0,崇文门,19人关注,9个月以前发布
新世界家园 ,2室1厅,108.78,西,其他,底层(共9层) ,暂无数据,板楼,1370,125943.0,崇文门,12人关注,6个月以前发布
新景家园东区 ,2室1厅,94.88,东南,精装,中楼层(共15层) ,暂无数据,板塔结合,950,100127.0,崇文门,16人关注,5个月以前发布
东环居苑 ,3室1厅,97.58,东北,精装,顶层(共18层),2004年,塔楼,880,90183.0,广渠门,44人关注,一年前发布
景泰西里西区 ,2室1厅,90.56,东 西,精装,11层 ,暂无数据,板塔结合,600,66255.0,永定门,14人关注,一年前发布
华龙美晟 ,2室1厅,91.9,东,精装,中楼层(共12层) ,暂无数据,板塔结合,699,76061.0,永定门,41人关注,11个月以前发布
鸿运花园 ,3室2厅,164.08,南 北,精装,底层(共6层),1996年,板楼,1600,97514.0,左安门,66人关注,一年前发布
兴隆都市馨园 ,3室2厅,95.24,南 北,其他,高楼层(共7层),2004年,板楼,1000,104998.0,崇文门,2人关注,17天以前发布
豆瓣胡同 ,3室2厅,108.14,东南,精装,中楼层(共10层) ,暂无数据,板楼,1378,127428.0,朝阳门内,10人关注,1个月以前发布
水上华城 ,3室2厅,165.81,南 北,精装,高楼层(共23层),2005年,板楼,1880,113383.0,广渠门,72人关注,一年前发布
朝阳门内大街75号院 ,3室1厅,96.08,南 北,简装,中楼层(共6层) ,暂无数据,板楼,1150,119692.0,朝阳门内,4人关注,15天以前发布
北京INN ,2室1厅,103.53,北,毛坯,顶层(共2层) ,暂无数据,板塔结合,490,47330.0,朝阳门内,2人关注,15天以前发布
巷上嘉园 ,2室1厅,96.6,西南,精装,中楼层(共24层) ,暂无数据,塔楼,1130,116978.0,安定门,5人关注,2个月以前发布
冠城名敦道A区 ,2室1厅,93.27,西,简装,23层,2010年,塔楼,489,52429.0,广渠门,2人关注,14天以前发布
巷上嘉园 ,2室2厅,99.27,东南,简装,中楼层(共24层),2005年,塔楼,1270,127934.0,安定门,3人关注,6个月以前发布
朝内大街136号院 ,3室1厅,92.73,南,其他,16层 ,暂无数据,塔楼,999,107733.0,朝阳门内,5人关注,1个月以前发布
东四块玉南街4号院 ,3室2厅,154.79,东 西,其他,中楼层(共7层) ,暂无数据,板楼,1498,96777.0,左安门,15人关注,5个月以前发布
北京上舍 ,2室1厅,105.09,西,精装,中楼层(共15层) ,暂无数据,塔楼,1000,95157.0,广渠门,16人关注,4个月以前发布
三秀涵雅 ,3室1厅,165.86,南,精装,低楼层(共18层) ,暂无数据,塔楼,1620,97673.0,安定门,11人关注,2个月以前发布
三秀涵雅 ,2室1厅,106.9,东 北 南,精装,低楼层(共18层) ,暂无数据,塔楼,850,79514.0,安定门,8人关注,1个月以前发布
和平里五区 ,3室2厅,92.68,南 北,精装,顶层(共6层) ,暂无数据,板楼,808,87182.0,和平里,3人关注,8天以前发布
三秀涵雅 ,3室1厅,164.64,南,精装,低楼层(共18层) ,暂无数据,塔楼,1600,97182.0,安定门,2人关注,3天以前发布
民安小区东扬威街 ,3室1厅,105.24,南 西 北,简装,中楼层(共11层) ,暂无数据,塔楼,950,90270.0,东直门,15人关注,1个月以前发布
民安小区东扬威街 ,3室1厅,103.29,南 北,其他,低楼层(共16层) ,暂无数据,塔楼,993,96138.0,东直门,10人关注,3个月以前发布
新奥洋房 ,3室1厅,104.37,南 北,简装,6层 ,暂无数据,板塔结合,830,79525.0,永定门,17人关注,2个月以前发布
华普花园 ,3室1厅,176.03,东,其他,中楼层(共22层) ,暂无数据,塔楼,1230,69875.0,东直门,7人关注,1个月以前发布
太华公寓 ,2室1厅,152.62,南,精装,高楼层(共17层),2000年,塔楼,1280,83869.0,崇文门,14人关注,一年前发布
天利园 ,2室1厅,101.78,南 北,精装,中楼层(共16层),2003年,板塔结合,1120,110042.0,广渠门,1人关注,3个月以前发布
