title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
鲁艺上河村 ,3室2厅,178.74,南 北,精装,高楼层(共15层) ,暂无数据,板楼,2280.0,127560.0,世纪城,17人关注,3个月以前发布
翠叠园 ,3室1厅,167.76,南 北,简装,高楼层(共11层),2004年,板楼,2200.0,131140.0,世纪城,8人关注,1个月以前发布
晴雪园 ,3室2厅,163.92,南 北,简装,中楼层(共12层),2005年,板楼,2250.0,137263.0,世纪城,9人关注,18天以前发布
时雨园 ,2室2厅,103.95,东南,简装,中楼层(共19层),2005年,塔楼,1320.0,126985.0,世纪城,34人关注,10个月以前发布
时雨园 ,3室2厅,165.22,南 西南,精装,中楼层(共19层) ,暂无数据,板塔结合,1620.0,98052.0,世纪城,19人关注,8个月以前发布
翠叠园 ,3室1厅,161.6,南 北,简装,低楼层(共13层),2004年,板楼,1780.0,110149.0,世纪城,33人关注,2个月以前发布
鲁艺上河村 ,3室1厅,169.21,南 北,精装,底层(共15层),2002年,板楼,2550.0,150701.0,世纪城,0人关注,16天以前发布
垂虹园 ,3室1厅,172.34,东南,其他,高楼层(共18层) ,暂无数据,塔楼,1740.0,100964.0,世纪城,2人关注,22天以前发布
远大园三区 ,4室2厅,161.39,南 北,其他,中楼层(共14层) ,暂无数据,板楼,1985.0,122994.0,世纪城,11人关注,2个月以前发布
远大园三区 ,4室2厅,193.21,东南,其他,低楼层(共17层),2001年,塔楼,2100.0,108691.0,世纪城,19人关注,一年前发布
远大园三区 ,4室2厅,193.21,西南,精装,低楼层(共17层) ,暂无数据,塔楼,1835.0,94975.0,世纪城,10人关注,2个月以前发布
远大园五区 ,2室2厅,127.85,南 北,精装,顶层(共15层) ,暂无数据,板楼,1750.0,136880.0,世纪城,0人关注,3天以前发布
远大园四区 ,3室1厅,136.77,东南,简装,中楼层(共16层) ,暂无数据,塔楼,1720.0,125759.0,世纪城,79人关注,一年前发布
远大园一区 ,3室2厅,164.79,南 北,简装,高楼层(共11层),2001年,板楼,1700.0,103162.0,世纪城,31人关注,2个月以前发布
远大园四区 ,3室2厅,163.92,南 北,精装,中楼层(共7层),2000年,板楼,1988.0,121279.0,世纪城,25人关注,3个月以前发布
春荫园 ,3室1厅,168.31,南 北,简装,中楼层(共12层),2004年,板楼,2050.0,121800.0,世纪城,4人关注,1个月以前发布
世纪金源国际公寓 ,2室1厅,157.93,西南,简装,高楼层(共13层),2002年,塔楼,980.0,62053.0,世纪城,2人关注,1个月以前发布
金夕园 ,2室1厅,99.52,西,精装,中楼层(共16层),2003年,塔楼,880.0,88425.0,世纪城,9人关注,一年前发布
金夕园 ,2室1厅,91.22,东,其他,中楼层(共17层),2003年,塔楼,720.0,78931.0,世纪城,23人关注,10个月以前发布
远大园五区 ,3室2厅,173.54,南 北,其他,中楼层(共12层) ,暂无数据,板楼,2000.0,115248.0,世纪城,20人关注,8个月以前发布
远大园四区 ,3室2厅,168.39,南 北,精装,高楼层(共7层) ,暂无数据,板楼,2200.0,130650.0,世纪城,7人关注,30天以前发布
远大园五区 ,3室2厅,173.19,西南,简装,低楼层(共16层),2001年,塔楼,1720.0,99313.0,世纪城,5人关注,7个月以前发布
远大园一区 ,3室1厅,181.27,南 北,精装,中楼层(共13层) ,暂无数据,板楼,1950.0,107575.0,世纪城,4人关注,2个月以前发布
时雨园 ,2室1厅,105.82,东 南,精装,低楼层(共19层),2005年,塔楼,1200.0,113401.0,世纪城,18人关注,2个月以前发布
远大园五区 ,3室1厅,173.54,南 北,简装,高楼层(共12层),2001年,板楼,2380.0,137145.0,世纪城,21人关注,一年前发布
远大园四区 ,3室2厅,168.39,南 西 北,简装,中楼层(共7层) ,暂无数据,板楼,2250.0,133619.0,世纪城,24人关注,一年前发布
远大园五区 ,2室2厅,107.36,南 北,毛坯,顶层(共12层) ,暂无数据,板楼,1450.0,135060.0,世纪城,0人关注,1天以前发布
世纪金源国际公寓 ,2室1厅,175.7,西南,精装,顶层(共16层),2002年,板楼,1200.0,68299.0,世纪城,12人关注,7个月以前发布
金夕园 ,2室1厅,99.64,西南 西,精装,中楼层(共16层),2003年,塔楼,830.0,83300.0,世纪城,6人关注,1个月以前发布
远大园五区 ,3室1厅,153.96,南 北,简装,低楼层(共12层) ,暂无数据,板楼,1680.0,109120.0,世纪城,14人关注,2个月以前发布
远大园六区 ,2室1厅,102.07,东南,简装,中楼层(共16层) ,暂无数据,塔楼,1095.0,107280.0,世纪城,12人关注,8个月以前发布
远大园六区 ,3室1厅,91.33,南 北,简装,底层(共6层),2000年,板楼,990.0,108399.0,世纪城,9人关注,24天以前发布
远大园六区 ,2室1厅,97.35,西南 东北,精装,中楼层(共12层) ,暂无数据,塔楼,980.0,100668.0,世纪城,15人关注,4个月以前发布
远大园六区 ,2室2厅,108.79,西南,简装,高楼层(共16层),2000年,塔楼,1090.0,100194.0,世纪城,30人关注,一年前发布
远大园六区 ,2室1厅,70.8,南 北,精装,高楼层(共6层),2000年,板楼,689.0,97317.0,世纪城,73人关注,5个月以前发布
远大园六区 ,3室1厅,86.0,南 北,精装,高楼层(共6层),2000年,板楼,928.0,107907.0,世纪城,91人关注,9个月以前发布
远大园六区 ,2室1厅,67.19,南 北,精装,顶层(共6层),2000年,板楼,850.0,126507.0,世纪城,31人关注,一年前发布
远大园六区 ,2室1厅,70.8,南 北,简装,低楼层(共6层),2000年,板楼,750.0,105933.0,世纪城,29人关注,2个月以前发布
远大园六区 ,2室2厅,113.46,东南 西北,精装,中楼层(共16层) ,暂无数据,塔楼,1180.0,104002.0,世纪城,21人关注,一年前发布
烟树园 ,2室2厅,99.7,东南,精装,中楼层(共11层),2003年,塔楼,850.0,85256.0,世纪城,53人关注,一年前发布
远大园六区 ,3室1厅,156.47,西南,精装,低楼层(共16层) ,暂无数据,塔楼,1590.0,101617.0,世纪城,8人关注,9个月以前发布
烟树园 ,2室2厅,99.72,西,简装,低楼层(共11层),2003年,塔楼,950.0,95267.0,世纪城,5人关注,1个月以前发布
烟树园 ,2室2厅,99.0,东南,精装,中楼层(共11层),2003年,塔楼,913.0,92223.0,世纪城,5人关注,17天以前发布
烟树园 ,2室1厅,98.71,南,简装,低楼层(共11层),2003年,塔楼,870.0,88137.0,世纪城,20人关注,3个月以前发布
烟树园 ,2室1厅,73.57,北 西,简装,中楼层(共11层),2003年,塔楼,760.0,103303.0,世纪城,17人关注,2个月以前发布
烟树园 ,2室1厅,83.57,西,精装,高楼层(共11层) ,暂无数据,塔楼,760.0,90942.0,世纪城,11人关注,1个月以前发布
烟树园 ,2室1厅,83.57,东 北,精装,中楼层(共11层) ,暂无数据,塔楼,795.0,95130.0,世纪城,17人关注,3个月以前发布
烟树园 ,2室1厅,84.43,西南,精装,中楼层(共11层) ,暂无数据,塔楼,800.0,94754.0,世纪城,114人关注,一年前发布
远大园三区 ,3室2厅,160.36,南 北,精装,中楼层(共14层) ,暂无数据,板楼,1860.0,115990.0,世纪城,15人关注,1个月以前发布
远大园三区 ,3室2厅,161.39,南 北,精装,中楼层(共14层) ,暂无数据,板楼,2200.0,136316.0,世纪城,11人关注,一年前发布
远大园二区 ,2室1厅,103.52,东南,精装,高楼层(共17层),2001年,塔楼,1060.0,102396.0,世纪城,10人关注,15天以前发布
远大园三区 ,3室2厅,193.21,西南,精装,中楼层(共17层) ,暂无数据,塔楼,2000.0,103515.0,世纪城,13人关注,一年前发布
远大园三区 ,3室1厅,170.57,西南,简装,低楼层(共17层),2001年,塔楼,1750.0,102598.0,世纪城,5人关注,4个月以前发布
远大园六区 ,2室1厅,70.92,南 北,简装,顶层(共6层) ,暂无数据,板楼,720.0,101523.0,世纪城,4人关注,1个月以前发布
远大园六区 ,2室1厅,67.3,南 北,精装,顶层(共6层) ,暂无数据,板楼,696.0,103418.0,世纪城,11人关注,2个月以前发布
